id,group,description,value
1,ENV,CURSO SEGURIDAD Y SALUD EN EL TRABAJO. ISO 45001:2018.,50
2,ENV,II EDICIÓN CURSO SISTEMAS DE GESTIÓN INTEGRADA. CALIDAD Y MEDIO AMBIENTE,150
3,LNG,INGLÉS C1,240
4,LNG,Curso de Inmersión en Lengua Inglesa - Profesorado (C1),40
5,ENV,SBN e infraestructuras verdes en entornos urbanos mediterráneos,25
6,LNG,Curso de Inmersión en Lengua Inglesa C1,43
7,ENV,Reducción de emisiones y Huella de Carbono para empresas,60
8,GIS,Iniciación al Análisis Estadístico en Investigación Científica con Rstudio,100
9,B&G,Técnico especialista de laboratorio Agroalimentario (Intensivo),50
10,GIS,"Teledetección para la humedad del suelo: Fuentes, Procesamiento y Asimilación de Datos para el Modelado Hidrológico",33
11,GIS,Introducción al Manejo y Análisis de Datos Ambientales en R,50
12,ENV,Cálculo de Huella de Carbono,120
13,GIS,PostGIS: Bases de datos espaciales,120
14,ENV,Simposio SIAGA,30
15,ENV,Gestión de Especies Invasoras Marinas: Construyendo una Propuesta para Andalucía,15
16,ENV,"Diversidad Biológica, Conservación Y Cooperación Internacional hacia la sostenibilidad del archipiélago de Galápagos",50
17,ENV,El clima que viene y su impacto en el medio ambiente en España,20
18,ENV,Valores naturales de la provincia de Málaga,20
