id,group,description,value,link
1,ENV,CURSO SEGURIDAD Y SALUD EN EL TRABAJO. ISO 45001:2018.,50,https://drive.google.com/file/d/1YhHZgCTsFxKhkYgwnAL9y76pGGktTeCL/view?usp=sharing
2,ENV,II EDICIÓN CURSO SISTEMAS DE GESTIÓN INTEGRADA. CALIDAD Y MEDIO AMBIENTE,150,https://drive.google.com/file/d/1uIpLHoSeg9DV86umbFE4_QxcBc80PywJ/view?usp=sharing
3,LNG,INGLÉS C1,240,https://drive.google.com/file/d/1pTQYdbcloZMeZMnWu7w8v26oZ9P-m7b-/view?usp=sharing
4,LNG,Curso de Inmersión en Lengua Inglesa - Profesorado (C1),40,https://drive.google.com/file/d/1ozr5WpdXleWMxNQP5S5aFR3AKa8TOK9O/view?usp=sharing
5,ENV,SBN e infraestructuras verdes en entornos urbanos mediterráneos,25,https://drive.google.com/file/d/1mbtMe-iEqBLmhQvKrivQElovgiPBtabm/view?usp=sharing
6,LNG,Curso de Inmersión en Lengua Inglesa C1,43,https://drive.google.com/file/d/1Ekqyw2bpMdhJtKoQOJxBDlK6MSzGCG6i/view?usp=sharing
7,ENV,Reducción de emisiones y Huella de Carbono para empresas,60,https://drive.google.com/file/d/1Jja7MKalbzv38GONnyGspUDltzKqwNUg/view?usp=sharing
8,GIS,Iniciación al Análisis Estadístico en Investigación Científica con Rstudio,100,https://drive.google.com/file/d/1CEbxFrce50PMg8CY8tNHatrdxzIPkRqu/view?usp=sharing
9,B&G,Técnico especialista de laboratorio Agroalimentario (Intensivo),50,https://drive.google.com/file/d/1OnLp_t1nWR_dYFsKxLn8TZ38Xf4qi3FQ/view?usp=sharing
10,GIS,"Teledetección para la humedad del suelo: Fuentes, Procesamiento y Asimilación de Datos para el Modelado Hidrológico",33,https://drive.google.com/file/d/1-vFDK0xpkkvcFoYQC19s7QSCoTvz1Upk/view?usp=sharing
11,GIS,Introducción al Manejo y Análisis de Datos Ambientales en R,50,https://drive.google.com/file/d/1Hsnyck4T8DHTQav1TgpeUp_WwxbH8Lx2/view?usp=sharing
12,ENV,Cálculo de Huella de Carbono,120,https://drive.google.com/file/d/1jynbDBbRw7o7rUmt0sSBk3Lp5dOgHrUY/view?usp=sharing
13,GIS,PostGIS: Bases de datos espaciales,120,https://drive.google.com/file/d/14wdZwogjO-DmD8Jlnkgld7gRwQKFPW4O/view?usp=sharing
14,ENV,Simposio SIAGA,30,https://drive.google.com/file/d/1n-kxKxpjfbOFoVzhEzTmXmiO3IzjWCCe/view?usp=sharing
15,ENV,Gestión de Especies Invasoras Marinas: Construyendo una Propuesta para Andalucía,15,https://drive.google.com/file/d/1yAqN8ufo3mi0FVppNbOSxXYrhl1CxEUk/view?usp=sharing
16,ENV,"Diversidad Biológica, Conservación Y Cooperación Internacional hacia la sostenibilidad del archipiélago de Galápagos",50,https://drive.google.com/file/d/13NSPEP_u6epUkHPG84Mi3rscV839cDQM/view?usp=sharing
17,ENV,El clima que viene y su impacto en el medio ambiente en España,20,https://drive.google.com/file/d/1BX4g2ffmK76utuKeNZ1zFj04Vy4nQmDW/view?usp=sharing
18,ENV,Valores naturales de la provincia de Málaga,20,https://drive.google.com/file/d/1Qa4lvlGv_dDOhZ3OBLYEuqYiiZeGw-XH/view?usp=sharing
19,GIS,QGIS Y GRASS – Nivel Avanzado,30,https://drive.google.com/file/d/1aqPzP-OtCG3jBqYS6K4zOg6xgc2dOGjF/view?usp=sharing
